code,name,shares,weight,market_value_100m
2330,台積電,391000,9.03,9.19
2383,台光電,111000,6.45,6.53
6223,旺矽科技,112000,6.15,5.89
3037,欣興,527000,5.84,5.96
3017,奇鋐科技,155000,4.49,4.8
2059,川湖科技,33000,4.46,4.65
6274,台燿,291000,4.45,4.37
5274,信驊科技,26600,4.07,4.21
2454,聯發科技,108000,3.88,4.15
2408,南亞科技,771000,3.87,3.71
6669,緯穎科技服務,56000,3.44,3.57
2345,智邦科技,149000,3.05,3.17
3189,景碩科技,336000,2.78,2.86
8046,南電,237000,2.75,2.8
2344,華邦電子,1593000,2.73,2.68
3443,創意,48000,2.62,2.54
6515,穎崴科技,40000,2.48,2.55
2308,台達電,119000,2.02,2.1
3653,健策,36000,1.96,1.97
3665,貿聯-KY,85000,1.86,1.87
7769,鴻勁精密,27000,1.69,1.74
2303,聯電,1489000,1.67,1.72
2327,國巨*,257000,1.4,1.48
5289,宜鼎國際,93000,1.35,1.41
3711,日月光投資控股,219000,1.26,1.29
8299,群聯電子,37000,0.72,0.73
3081,聯亞,26000,0.7,0.72
2885,元大金,974360,0.59,0.61
2360,致茂電子,28000,0.58,0.59
2337,旺宏,423000,0.5,0.52
2347,聯強,588000,0.5,0.51
2883,凱基金控,1697000,0.5,0.52
2890,永豐金融,1308220,0.5,0.51
3264,欣銓科技,227000,0.46,0.47
3231,緯創資通,254000,0.44,0.46
2301,光寶科技,166000,0.43,0.45
2455,全新,107000,0.43,0.44
6187,萬潤,35000,0.43,0.46
2467,志聖,78000,0.42,0.44
2368,金像電,39000,0.39,0.41
2395,研華,60000,0.39,0.42
1560,中砂,55000,0.37,0.39
3491,昇達科,30000,0.37,0.37
8996,高力熱處理工業,34000,0.37,0.39
6196,帆宣,75000,0.36,0.37
6584,南俊國際,63000,0.36,0.37
6139,亞翔,47000,0.35,0.36
8358,金居,87000,0.35,0.36
3661,世芯-KY,9000,0.33,0.34
